	Senzor1	Senzor2	Senzor3	Senzor4	Senzor5	Senzor6
0	20.0	12.0	13.0	12.0	41.0	16.0
1	20.0	11.0	12.0	26.0	59.0	16.0
2	22.0	10.0	12.0	16.0	27.0	17.0
3	21.0	10.0	12.0	27.0	53.0	16.0
4	23.0	11.0	11.0	26.0	65.0	16.0
5	20.0	11.0	11.0	26.0	38.0	16.0
6	22.0	10.0	11.0	26.0	61.0	16.0
7	19.0	11.0	11.0	26.0	81.0	16.0
8	20.0	12.0	11.0	26.0	64.0	16.0
9	20.0	12.0	11.0	25.0	52.0	16.0
10	19.0	11.0	11.0	25.0	42.0	17.0
11	20.0	13.0	11.0	26.0	32.0	15.0
12	18.0	13.0	11.0	22.0	30.0	18.0
13	19.0	13.0	11.0	21.0	29.0	17.0
14	19.0	12.0	10.0	23.0	35.0	14.0
15	20.0	12.0	11.0	25.0	30.0	17.0
16	18.0	15.0	22.0	23.0	30.0	17.0
17	20.0	14.0	23.0	23.0	30.0	17.0
18	14.0	15.0	34.0	23.0	31.0	17.0
19	15.0	15.0	33.0	22.0	29.0	17.0
20	14.0	15.0	11.0	22.0	35.0	17.0
21	14.0	15.0	34.0	21.0	30.0	16.0
22	13.0	15.0	17.0	22.0	34.0	16.0
23	13.0	20.0	19.0	21.0	32.0	17.0
24	14.0	19.0	23.0	20.0	31.0	17.0
25	13.0	15.0	46.0	20.0	32.0	17.0
26	14.0	19.0	45.0	20.0	32.0	17.0
27	12.0	18.0	16.0	20.0	30.0	17.0
28	12.0	14.0	31.0	20.0	53.0	18.0
29	13.0	12.0	45.0	20.0	31.0	15.0
30	13.0	19.0	51.0	20.0	34.0	20.0
31	12.0	13.0	49.0	20.0	59.0	18.0
32	12.0	12.0	47.0	20.0	56.0	18.0
33	12.0	10.0	29.0	20.0	45.0	18.0
34	12.0	10.0	27.0	20.0	47.0	19.0
35	12.0	10.0	28.0	20.0	50.0	19.0
36	12.0	9.0	28.0	21.0	36.0	23.0
37	12.0	9.0	27.0	9.0	14.0	30.0
38	13.0	8.0	25.0	6.0	15.0	14.0
39	13.0	10.0	25.0	22.0	15.0	27.0
40	12.0	7.0	26.0	22.0	16.0	3.0
41	13.0	9.0	26.0	26.0	17.0	25.0
42	12.0	9.0	25.0	22.0	16.0	23.0
43	13.0	7.0	24.0	9.0	15.0	27.0
44	13.0	6.0	25.0	26.0	16.0	14.0
45	13.0	8.0	25.0	24.0	15.0	16.0
46	14.0	8.0	23.0	25.0	15.0	27.0
47	13.0	8.0	24.0	7.0	15.0	28.0
48	14.0	8.0	23.0	8.0	15.0	20.0
49	14.0	8.0	24.0	9.0	15.0	29.0
